"PERMITNO"|"FCLTUIN"|"FCLNAME"|"FCLTYAD"|"FCLTCIT"|"FCLTCTC"|"FCLSTCD"|"FCLZIPC"|"FCLGLAT"|"FCLGLON"|"IMPCAT"
"TX0105899"|"110009747774"|"TOWN OF OAK RIDGE WWTF"|"1700' S US HWY 82 9800' W FM 678"|"GAINESVILLE"|"1373791"|"TX"|"76240"|33.644194|-97.040028|""
"TX0105902"|"110010131080"|"LAPOYNOR ISD WWTF"|"ISD CAMPUS 2 M SE US HWY 175 AND FMR 2588"|"LARUE"|"1339642"|"TX"|"75770"|32.096944|-95.639722|""
"TX0105937"|"110001866641"|"PORT OF PORT LAVACA-POINT COMF"|"2313 FM 1593 S, 2.3MI S."|"POINT COMFORT"|"1365500"|"TX"|"77978"|28.643333|-96.546944|""
"TX0105988"|"110009747783"|"BEACH ROAD MUD - WWTP"|"EAST FM RD HWY 2301"|"MATAGORDA"|"1383943"|"TX"|"77457"|28.664722|-95.961111|"4"
"TX0105996"|"110009774093"|"KINGS MANOR MUD WWTF"|"0.6MI NE INTX ST HWY LOOP 494 AND KINGWOOD DR"|"HOUSTON"|"1380948"|"TX"|"77057"|30.053056|-95.235556|""
"TX0106003"|"110039189598"|"GASTON CAMPUS WWTF"|"1300 FT N ST HWY 64"|"JOINERVILLE"|"1378500"|"TX"|""|32.176389|-94.888889|""
"TX0106046"|"110009747792"|"FT. BEND COUNTY MUD 81 WWTP"|"10M NW OF ROSENBERG TEXAS AND 13 M S SW"|"FULSHEAR"|"1383864"|"TX"|"77010"|29.65475|-95.928917|""
"TX0106054"|"110009774119"|"WALLISVILLE RD WWTP"|"WALLISVILLE ROAD AND N WAYSIDE"|"HOUSTON"|"1380948"|"TX"|"77020"|29.786111|-95.295556|""
"TX0106062"|"110000461839"|"SARTOMER PLANT"|"17335 WALLISVILLE RD"|"HOUSTON"|"1380948"|"TX"|"77049"|29.816944|-95.123611|""
"TX0106071"|"110009774128"|"SOUTHEAST WATER RECLAMATION PLANT"|"EAST 38TH ST S OF FT WORTH AND DENVER RR; 1 M NW"|"LUBBOCK"|"1374760"|"TX"|"79457"|33.512778|-101.650833|"4"
"TX0106089"|"110039189614"|"ERGON ASPHALT AND EMULSION WACO FACILITY"|"1820 SH 6 EAST"|"WACO"|"1370701"|"TX"|"76710"|31.557778|-97.0975|""
"TX0106101"|"110009774137"|"PELICAN ISLE WWTP"|"ON A CR 1.3MI S INTX W  US HWY 287"|"KERENS"|"1383960"|"TX"|"75144"|31.992222|-96.171944|""
"TX0106119"|"110010921805"|"RICHARDS ISD WWTP"|"550F N FMR 149 AND 1800F W"|"RICHARDS"|"1382617"|"TX"|"778730308"|30.540278|-95.842222|""
"TX0106186"|"110039168272"|"UNKNOWN"|"UNKNOWN"|""|"1380966"|"TX"|""|29.729167|-95|""
"TX0106194"|"110005166676"|"MOUNT PLEASANT"|"209 AIRPORT ROAD"|"MOUNT PLEASANT"|"1342094"|"TX"|"75455"|33.13225|-94.970861|""
"TX0106208"|"110009747514"|"SOUTH COAST TERMINALS MANCHESTER FACILITY"|"9317 E AVE S"|"HOUSTON"|"1380948"|"TX"|"77012"|29.720833|-95.275|"4"
"TX0106224"|"110009774146"|"CAMP JOHN MARC WWTF"|"6 MILES E OF MERIDIAN, 13 MILE"|"CLIFTON"|"1332988"|"TX"|"76637"|31.961944|-97.553611|""
"TX0106283"|"110000460910"|"OXID LP"|"101 CONCRETE STREET"|"HOUSTON"|"1380948"|"TX"|"77012"|29.723889|-95.264722|""
"TX0106291"|"110009773806"|"CITY OF KEENE WWTP"|"US HWY 67 AND CR 318"|"KEENE"|"1338981"|"TX"|"76059"|32.396944|-97.283889|""
"TX0106437"|"110009773815"|"SUNRISE EAST APARTMENTS WWTP"|"SH 87 AND SH 62"|"ORANGE"|"1375304"|"TX"|"77611"|30.05|-93.812778|""
"TX0106461"|"110017848579"|"NITROGEN SERVICES WWTP"|"FMR 1795 3000F E FM 1795 AND ST HWY 14"|"HAWKINS"|"1337469"|"TX"|"75765"|32.44|-95.196944|""
